"No. overall","No. in season",Title,Directed by,Written by,Original air date,"U.S. viewers (millions)",Season
1,1,"""Pilot""",Vince Gilligan,Vince Gilligan,"January 20, 2008",1.41,1
2,2,"""Cat's in the Bag...""",Adam Bernstein,Vince Gilligan,"January 27, 2008",1.49,1
3,3,"""...And the Bag's in the River""",Adam Bernstein,Vince Gilligan,"February 10, 2008",01.08,1
4,4,"""Cancer Man""",Jim McKay,Vince Gilligan,"February 17, 2008",01.09,1
5,5,"""Gray Matter""",Tricia Brock,Patty Lin,"February 24, 2008",0.97,1
6,6,"""Crazy Handful of Nothin'""",Bronwen Hughes,George Mastras,"March 2, 2008",01.07,1
7,7,"""A No-Rough-Stuff-Type Deal""",Tim Hunter,Peter Gould,"March 9, 2008",1.5,1
8,1,"""Seven Thirty-Seven""",Bryan Cranston,J. Roberts,"March 8, 2009",1.66,2
9,2,"""Grilled""",Charles Haid,George Mastras,"March 15, 2009",1.6,2
10,3,"""Bit by a Dead Bee""",Terry McDonough,Peter Gould,"March 22, 2009",1.13,2
11,4,"""Down""",John Dahl,Sam Catlin,"March 29, 2009",1.29,2
12,5,"""Breakage""",Johan Renck,Moira Walley-Beckett,"April 5, 2009",1.21,2
13,6,"""Peekaboo""",Peter Medak,J. Roberts & Vince Gilligan,"April 12, 2009",1.41,2
14,7,"""Negro y Azul""",Felix Alcala,John Shiban,"April 19, 2009",1.2,2
15,8,"""Better Call Saul""",Terry McDonough,Peter Gould,"April 26, 2009",01.04,2
16,9,"""4 Days Out""",Michelle MacLaren,Sam Catlin,"May 3, 2009",1.27,2
17,10,"""Over""",Phil Abraham,Moira Walley-Beckett,"May 10, 2009",1.19,2
18,11,"""Mandala""",Adam Bernstein,George Mastras,"May 17, 2009",1.29,2
19,12,"""Phoenix""",Colin Bucksey,John Shiban,"May 24, 2009",1.19,2
20,13,"""ABQ""",Adam Bernstein,Vince Gilligan,"May 31, 2009",1.5,2
21,1,"""No Más""",Bryan Cranston,Vince Gilligan,"March 21, 2010",1.95,3
22,2,"""Caballo sin Nombre""",Adam Bernstein,Peter Gould,"March 28, 2010",1.55,3
23,3,"""I.F.T.""",Michelle MacLaren,George Mastras,"April 4, 2010",1.33,3
24,4,"""Green Light""",Scott Winant,Sam Catlin,"April 11, 2010",1.46,3
25,5,"""Más""",Johan Renck,Moira Walley-Beckett,"April 18, 2010",1.61,3
26,6,"""Sunset""",John Shiban,John Shiban,"April 25, 2010",1.64,3
27,7,"""One Minute""",Michelle MacLaren,Thomas Schnauz,"May 2, 2010",1.52,3
28,8,"""I See You""",Colin Bucksey,Gennifer Hutchison,"May 9, 2010",1.78,3
29,9,"""Kafkaesque""",Michael Slovis,Peter Gould & George Mastras,"May 16, 2010",1.61,3
30,10,"""Fly""",Rian Johnson,Sam Catlin & Moira Walley-Beckett,"May 23, 2010",1.2,3
31,11,"""Abiquiu""",Michelle MacLaren,John Shiban & Thomas Schnauz,"May 30, 2010",1.32,3
32,12,"""Half Measures""",Adam Bernstein,Sam Catlin & Peter Gould,"June 6, 2010",1.19,3
33,13,"""Full Measure""",Vince Gilligan,Vince Gilligan,"June 13, 2010",1.56,3
34,1,"""Box Cutter""",Adam Bernstein,Vince Gilligan,"July 17, 2011",2.58,4
35,2,"""Thirty-Eight Snub""",Michelle MacLaren,George Mastras,"July 24, 2011",1.97,4
36,3,"""Open House""",David Slade,Sam Catlin,"July 31, 2011",1.71,4
37,4,"""Bullet Points""",Colin Bucksey,Moira Walley-Beckett,"August 7, 2011",1.83,4
38,5,"""Shotgun""",Michelle MacLaren,Thomas Schnauz,"August 14, 2011",1.75,4
39,6,"""Cornered""",Michael Slovis,Gennifer Hutchison,"August 21, 2011",1.67,4
40,7,"""Problem Dog""",Peter Gould,Peter Gould,"August 28, 2011",1.91,4
41,8,"""Hermanos""",Johan Renck,Sam Catlin & George Mastras,"September 4, 2011",1.98,4
42,9,"""Bug""",Terry McDonough,Moira Walley-Beckett & Thomas Schnauz,"September 11, 2011",1.89,4
43,10,"""Salud""",Michelle MacLaren,Peter Gould & Gennifer Hutchison,"September 18, 2011",1.8,4
44,11,"""Crawl Space""",Scott Winant,George Mastras & Sam Catlin,"September 25, 2011",1.55,4
45,12,"""End Times""",Vince Gilligan,Thomas Schnauz & Moira Walley-Beckett,"October 2, 2011",1.73,4
46,13,"""Face Off""",Vince Gilligan,Vince Gilligan,"October 9, 2011",1.9,4
47,1,"""Live Free or Die""",Michael Slovis,Vince Gilligan,"July 15, 2012",2.93,5
48,2,"""Madrigal""",Michelle MacLaren,Vince Gilligan,"July 22, 2012",2.29,5
49,3,"""Hazard Pay""",Adam Bernstein,Peter Gould,"July 29, 2012",2.2,5
50,4,"""Fifty-One""",Rian Johnson,Sam Catlin,"August 5, 2012",2.29,5
51,5,"""Dead Freight""",George Mastras,George Mastras,"August 12, 2012",2.48,5
52,6,"""Buyout""",Colin Bucksey,Gennifer Hutchison,"August 19, 2012",2.81,5
53,7,"""Say My Name""",Thomas Schnauz,Thomas Schnauz,"August 26, 2012",2.98,5
54,8,"""Gliding Over All""",Michelle MacLaren,Moira Walley-Beckett,"September 2, 2012",2.78,5
55,9,"""Blood Money""",Bryan Cranston,Peter Gould,"August 11, 2013",5.92,5
56,10,"""Buried""",Michelle MacLaren,Thomas Schnauz,"August 18, 2013",4.77,5
57,11,"""Confessions""",Michael Slovis,Gennifer Hutchison,"August 25, 2013",4.85,5
58,12,"""Rabid Dog""",Sam Catlin,Sam Catlin,"September 1, 2013",4.41,5
59,13,"""To'hajiilee""",Michelle MacLaren,George Mastras,"September 8, 2013",5.11,5
60,14,"""Ozymandias""",Rian Johnson,Moira Walley-Beckett,"September 15, 2013",6.37,5
61,15,"""Granite State""",Peter Gould,Peter Gould,"September 22, 2013",6.58,5
62,16,"""Felina""",Vince Gilligan,Vince Gilligan,"September 29, 2013",10.28,5